pcb_material,solder_type,coating_type,component_density,via_structure,surface_finish,process_line,chamber_id,laminate_vendor,thickness_mm,copper_layers,copper_weight_oz,thermal_cycles,temp_min_c,temp_max_c,temp_span_c,ramp_rate_c_per_min,dwell_hot_min,dwell_cold_min,humidity_percent,vacuum_kpa,vibration_rms_g,initial_scale_coeff,rework_count,pcb_area_cm2,hole_density_per_dm2,copper_imbalance_percent,void_fraction_percent,ionic_contamination_ug_cm2,board_age_days,cycles_per_day,peak_assembly_temp_c,inspection_delay_hours,tg_c,cte_z_ppm,moisture_absorption_percent,warp_energy_index,via_fatigue_index,solder_creep_index,delamination_risk_index,residual_stress_index,deformation_um,drift_percent,post_scale_coeff,exceeds_threshold,severe_threshold
Ceramic,SnAgCu,Acrylic,Medium,StackedMicrovia,ENIG,LineA,Chamber_3,VendorA,1.432,4,0.5,1847,-40,125,165,14.169,75,53,71.4,2.405,11.766,0.996714,1,237.06,584.83,11.07,4.793,0.269,249,1.137,245,15.92,400.0,8.0,0.01,6.477,262.154,193.029,5.434,2.19,28.787,5.9864,1.056381,1,1
HighTg_FR4,LowTemp,None,High,Through,OSP,LineA,Chamber_1,VendorE,2.563,12,2.0,1768,-20,70,90,7.015,33,42,62.18,40.285,17.986,0.995968,0,194.77,589.26,8.16,0.547,0.472,352,1.755,235,48.03,172.0,55.0,0.13,2.41,92.143,178.554,9.231,2.644,19.099,3.5637,1.031461,1,0
Rogers,SnAgCu,None,Medium,BlindBuried,OSP,LineC,Chamber_1,VendorE,0.736,4,1.0,1853,-20,105,125,5.544,85,82,18.87,83.144,15.569,1.001812,0,205.05,147.45,26.76,2.87,0.087,693,1.612,245,33.7,287.0,31.0,0.05,13.848,194.48,163.678,3.544,2.985,27.542,4.4981,1.046875,1,0
Polyimide,LowTemp,Acrylic,Medium,BlindBuried,ENIG,LineA,Chamber_1,VendorD,2.673,8,0.5,303,-40,125,165,15.113,97,37,15.26,0.771,8.509,1.01011,0,184.87,362.91,11.08,6.473,0.686,668,6.129,245,31.3,255.0,47.0,0.27,2.809,82.184,63.36,6.804,2.626,0.603,1.531,1.025574,0,0
FR4,SnAgCu,None,Medium,Through,ENIG,LineB,Chamber_1,VendorB,1.452,6,1.0,570,-40,70,110,17.441,10,40,61.88,2.021,6.159,0.999487,0,207.72,664.42,27.4,0.477,0.8,501,0.475,255,33.96,136.0,69.0,0.18,6.55,60.35,33.136,14.762,2.268,4.161,2.4812,1.024286,0,0
Rogers,SnAgCu,None,High,Through,ENIG,LineB,Chamber_1,VendorE,1.466,4,1.0,2007,-40,85,125,1.867,89,68,17.18,0.618,8.149,0.992765,2,153.16,650.88,28.58,3.395,1.416,396,2.523,235,47.13,287.0,31.0,0.05,6.921,120.458,144.925,4.495,3.117,17.819,4.1478,1.033943,1,0
Ceramic,SnPb,None,High,Microvia,ENIG,LineA,Chamber_3,VendorC,2.224,12,1.0,321,-20,105,125,7.514,81,81,63.51,11.719,5.692,0.999948,0,20.91,46.41,29.58,7.475,,365,3.656,235,57.58,400.0,8.0,0.01,0.956,70.484,44.491,5.298,2.489,,1.9071,1.019018,0,0
Ceramic,SnAgCu,NanoCeramic,Medium,Microvia,ENIG,LineB,Chamber_3,VendorE,1.515,4,2.0,1712,-40,105,145,5.611,14,52,,0.067,17.849,0.994073,2,120.88,24.67,27.77,4.045,0.733,418,0.629,255,33.57,400.0,8.0,0.01,5.301,180.474,148.118,5.705,2.403,19.599,5.7196,1.05093,1,1
FR4,LowTemp,None,UltraHigh,Microvia,OSP,LineA,Chamber_1,VendorA,1.995,6,1.0,1410,-55,125,180,16.241,36,108,17.31,70.394,3.634,0.982272,1,73.13,367.65,30.61,4.819,0.654,71,2.44,255,39.29,136.0,69.0,0.18,4.511,256.238,253.722,48.185,2.361,28.59,6.2456,1.043621,1,1
HighTg_FR4,SnAgCu,None,Low,Through,ENIG,LineB,Chamber_1,VendorA,2.598,8,2.0,794,-55,105,160,15.724,103,118,49.59,3.254,14.576,,0,87.1,164.18,31.62,3.017,1.193,193,6.731,235,46.65,172.0,55.0,0.13,2.431,73.427,73.983,12.772,2.963,0.0,2.2602,1.034356,0,0
HighTg_FR4,SACXPlus,Acrylic,Low,BlindBuried,ENIG,LineA,Chamber_1,VendorD,2.477,8,0.5,121,-40,105,145,16.299,56,75,91.05,0.392,7.458,1.005095,0,79.17,163.04,16.78,2.043,1.852,416,7.303,245,13.02,172.0,55.0,0.13,1.162,30.747,11.203,15.556,2.069,1.669,1.744,1.022624,0,0
Rogers,SACXPlus,Acrylic,Medium,Through,ENIG,LineB,Chamber_2,VendorE,1.782,4,1.0,62,-20,105,125,1.534,17,68,92.21,0.066,11.73,1.017387,1,158.14,336.17,9.9,1.881,0.752,529,4.17,255,55.64,287.0,31.0,0.05,2.779,19.359,5.441,8.185,2.473,7.682,1.4242,1.031877,0,0
Polyimide,SnPb,NanoCeramic,High,Through,ImmAg,LineB,Chamber_1,VendorA,2.205,10,1.0,1968,-55,70,125,1.662,79,65,8.75,3.548,16.611,0.985156,1,192.93,52.03,6.43,0.371,0.536,307,6.181,245,2.86,255.0,47.0,0.27,2.849,115.14,162.12,3.158,3.946,11.273,2.546,1.010238,0,0
Rogers,LowTemp,NanoCeramic,Medium,BlindBuried,ENIG,LineA,Chamber_1,VendorB,1.524,12,1.0,267,-20,105,125,10.284,96,14,80.34,4.305,10.658,0.980623,0,211.02,475.25,13.3,0.342,0.774,692,7.239,255,17.47,287.0,31.0,0.05,4.729,79.766,49.326,6.548,2.527,4.335,1.4731,0.995068,0,0
HighTg_FR4,SnAgCu,Acrylic,Medium,Through,HASL,LineB,Chamber_3,VendorC,2.33,6,3.0,1649,-55,85,140,3.671,55,53,27.95,9.863,11.103,0.988768,1,212.04,258.58,8.61,3.517,0.648,540,1.059,255,70.92,172.0,55.0,0.13,3.676,96.381,117.866,6.474,2.948,9.796,2.5887,1.014364,0,0
FR4,SnPb,Acrylic,Medium,StackedMicrovia,,LineC,Chamber_3,VendorE,1.057,8,2.0,352,-40,150,190,2.738,18,99,74.68,,0.648,1.004786,0,22.49,69.63,28.63,1.663,0.259,335,6.958,255,45.15,136.0,69.0,0.18,2.343,183.444,60.997,35.915,2.737,8.224,4.1341,1.046325,1,0
HighTg_FR4,SnAgCu,Acrylic,Medium,BlindBuried,OSP,LineD,Chamber_2,VendorD,0.796,4,1.0,897,-20,70,90,5.278,20,85,38.66,2.52,2.319,1.010307,1,185.43,597.52,28.61,4.751,0.463,705,7.189,255,30.67,172.0,55.0,0.13,8.864,97.565,52.705,6.884,3.77,8.187,2.476,1.035322,0,0
